ID,Eintrags_ID,Klasse,Name,Vorname,Rufname,Geburtstag,Geburtsort,Geburtsland,Geschlecht,Religion,RU,Land,Land2,Strasse,HausNr,PLZ,Ort,Teilort,Muttersprache,Schuleintrittam,Erz1Name,Erz1Vorname,Erz1Geschlecht,Erz1Strasse,Erz1HausNr,Erz1PLZ,Erz1Ort,Erz1Teilort,Erz1Telefon1,Erz1Telefon2,Erz1Handy,Erz1Email,Erz2Name,Erz2Vorname,Erz2Geschlecht,Erz2Strasse,Erz2HausNr,Erz2PLZ,Erz2Ort,Erz2Teilort,Erz2Telefon1,Erz2Telefon2,Erz2Handy,Erz2Email,Profil1,Profil1von,Profil1bis,AbgebendeSchule,SonstigeSchule,Sprachwahl,Fremdsprache1,Fremdsprache2,Foto_Einw,Geschwister,Klassenpartner,vorhKlasse,erz2sorgerecht,erz2auskunftsrecht,reinw,schwimmen,impfung
1014,50014,5,Fischer,Jonas,,15.03.2015,Beispielstadt,D,m,,KEIN,D,,Musterstraße,15,77654,Beispielstadt,,deutsch,2022,Fischer,Elternteil A,w,Musterstraße,15,77654,Beispielstadt,,00000 000000,,0000 0000000,familie014@example.invalid,Fischer,Elternteil B,m,Musterstraße,15,77654,Beispielstadt,,,,0000 0000000,familie014.b@example.invalid,5y,,,GS-02,,E,E,F,Ja,,"Lina Braun, Mia Hofmann",4c,Ja,Ja,Ja,Ja,Ja
1015,50015,5,Braun,Lina,,16.04.2016,Beispielstadt,D,w,rk,RK,D,,Musterstraße,16,77654,Beispielstadt,,deutsch,2022,Braun,Elternteil A,w,Musterstraße,16,77654,Beispielstadt,,00000 000000,,0000 0000000,familie015@example.invalid,Braun,Elternteil B,m,Musterstraße,16,77654,Beispielstadt,,,,0000 0000000,familie015.b@example.invalid,5z,,,GS-03,,E,E,L,Nein,,"Felix Mayer, Finn Schmitt",4d,Ja,Ja,Nein,Ja,Nein
1016,50016,5,Mayer,Felix,Felix,17.05.2015,Beispielstadt,D,m,ev,EV,D,,Musterstraße,17,77654,Beispielstadt,,deutsch,2022,Mayer,Elternteil A,w,Musterstraße,17,77654,Beispielstadt,,00000 000000,,0000 0000000,familie016@example.invalid,Mayer,Elternteil B,m,Musterstraße,17,77654,Beispielstadt,,,,0000 0000000,familie016.b@example.invalid,5z,,,GS-04,,E,E,F,Ja,,"Clara Wagner, Lena Meier",4a,Ja,Ja,Ja,Ja,Ja
1017,50017,5,Wagner,Clara,,18.06.2016,Beispielstadt,D,w,,KEIN,D,,Musterstraße,18,77654,Beispielstadt,,deutsch,2022,Wagner,Elternteil A,w,Musterstraße,18,77654,Beispielstadt,,00000 000000,,0000 0000000,familie017@example.invalid,Wagner,Elternteil B,m,Musterstraße,18,77654,Beispielstadt,,,,0000 0000000,familie017.b@example.invalid,5z,,,GS-05,,E,E,F,Nein,,"Max Hartmann, Elias Schulze",4b,Ja,Ja,Ja,Ja,Ja
1018,50018,5,Hartmann,Max,,19.07.2015,Beispielstadt,D,m,rk,RK,D,,Musterstraße,19,77654,Beispielstadt,,deutsch,2022,Hartmann,Elternteil A,w,Musterstraße,19,77654,Beispielstadt,,00000 000000,,0000 0000000,familie018@example.invalid,Hartmann,Elternteil B,m,Musterstraße,19,77654,Beispielstadt,,,,0000 0000000,familie018.b@example.invalid,5z,,,GS-00,,E,E,L,Ja,,"Laura Fuchs, Sophie Herrmann",4c,Ja,Ja,Ja,Ja,Nein
1019,50019,5,Fuchs,Laura,,20.08.2016,Beispielstadt,D,w,ev,EV,D,,Musterstraße,20,77654,Beispielstadt,,deutsch,2022,Fuchs,Elternteil A,w,Musterstraße,20,77654,Beispielstadt,,00000 000000,,0000 0000000,familie019@example.invalid,Fuchs,Elternteil B,m,Musterstraße,20,77654,Beispielstadt,,,,0000 0000000,familie019.b@example.invalid,5z,,,GS-01,,E,E,F,Nein,,"Tim Hoffmann, Felix Mayer",4d,Ja,Ja,Ja,Ja,Ja
1020,50020,5,Hoffmann,Tim,Tim,21.09.2015,Beispielstadt,D,m,,KEIN,D,,Musterstraße,21,77654,Beispielstadt,,deutsch,2022,Hoffmann,Elternteil A,w,Musterstraße,21,77654,Beispielstadt,,00000 000000,,0000 0000000,familie020@example.invalid,Hoffmann,Elternteil B,m,Musterstraße,21,77654,Beispielstadt,,,,0000 0000000,familie020.b@example.invalid,5z,,,GS-02,,E,E,F,Ja,,"Anna Werner, Laura Fuchs",4a,Ja,Ja,Nein,Ja,Ja
1021,50021,5,Werner,Anna,,22.10.2016,Beispielstadt,D,w,rk,RK,D,,Musterstraße,22,77654,Beispielstadt,,deutsch,2022,Werner,Elternteil A,w,Musterstraße,22,77654,Beispielstadt,,00000 000000,,0000 0000000,familie021@example.invalid,Werner,Elternteil B,m,Musterstraße,22,77654,Beispielstadt,,,,0000 0000000,familie021.b@example.invalid,5y,,,GS-03,,E,E,L,Nein,,"Niklas Scholz, Niklas Scholz",4b,Ja,Ja,Ja,Ja,Nein
1022,50022,5,Scholz,Niklas,,23.11.2015,Beispielstadt,D,m,ev,EV,D,,Musterstraße,23,77654,Beispielstadt,,deutsch,2022,Scholz,Elternteil A,w,Musterstraße,23,77654,Beispielstadt,,00000 000000,,0000 0000000,familie022@example.invalid,Scholz,Elternteil B,m,Musterstraße,23,77654,Beispielstadt,,,,0000 0000000,familie022.b@example.invalid,5z,,,GS-04,,E,E,F,Ja,,"Emily Bauer, Nele Jung",4c,Ja,Ja,Ja,Ja,Ja
1023,50023,5,Bauer,Emily,,24.12.2016,Beispielstadt,D,w,,KEIN,D,,Musterstraße,24,77654,Beispielstadt,,deutsch,2022,Bauer,Elternteil A,w,Musterstraße,24,77654,Beispielstadt,,00000 000000,,0000 0000000,familie023@example.invalid,Bauer,Elternteil B,m,Musterstraße,24,77654,Beispielstadt,,,,0000 0000000,familie023.b@example.invalid,5z,,,GS-05,,E,E,F,Nein,,,4d,Ja,Ja,Ja,Ja,Ja
1024,50024,5,Lehmann,Lukas,Lukas,25.01.2015,Beispielstadt,D,m,rk,RK,D,,Musterstraße,25,77654,Beispielstadt,,deutsch,2022,Lehmann,Elternteil A,w,Musterstraße,25,77654,Beispielstadt,,00000 000000,,0000 0000000,familie024@example.invalid,Lehmann,Elternteil B,m,Musterstraße,25,77654,Beispielstadt,,,,0000 0000000,familie024.b@example.invalid,5z,,,GS-00,,E,E,L,Ja,,"Nele Jung, Ida Weber",4a,Ja,Ja,Ja,Ja,Nein
1025,50025,5,Jung,Nele,,26.02.2016,Beispielstadt,D,w,ev,EV,D,,Musterstraße,26,77654,Beispielstadt,,deutsch,2022,Jung,Elternteil A,w,Musterstraße,26,77654,Beispielstadt,,00000 000000,,0000 0000000,familie025@example.invalid,Jung,Elternteil B,m,Musterstraße,26,77654,Beispielstadt,,,,0000 0000000,familie025.b@example.invalid,5z,,,GS-01,,E,E,F,Nein,,"Jan Wolf, Tom Becker",4b,Ja,Ja,Nein,Ja,Ja
1026,50026,5,Wolf,Jan,,27.03.2015,Beispielstadt,D,m,,KEIN,D,,Musterstraße,27,77654,Beispielstadt,,deutsch,2022,Wolf,Elternteil A,w,Musterstraße,27,77654,Beispielstadt,,00000 000000,,0000 0000000,familie026@example.invalid,Wolf,Elternteil B,m,Musterstraße,27,77654,Beispielstadt,,,,0000 0000000,familie026.b@example.invalid,5z,,,GS-02,,E,E,F,Ja,,"Sarah Maier, Pia Schäfer",4c,Ja,Ja,Ja,Ja,Ja
1027,50027,5,Maier,Sarah,,28.04.2016,Beispielstadt,D,w,rk,RK,D,,Musterstraße,28,77654,Beispielstadt,,deutsch,2022,Maier,Elternteil A,w,Musterstraße,28,77654,Beispielstadt,,00000 000000,,0000 0000000,familie027@example.invalid,Maier,Elternteil B,m,Musterstraße,28,77654,Beispielstadt,,,,0000 0000000,familie027.b@example.invalid,5z,,,GS-03,,E,E,L,Nein,,"David Schmidt, Erik Richter",4d,Ja,Ja,Ja,Ja,Nein
1028,50028,5,Schmidt,David,David,01.05.2015,Beispielstadt,D,m,ev,EV,D,,Musterstraße,29,77654,Beispielstadt,,deutsch,2022,Schmidt,Elternteil A,w,Musterstraße,29,77654,Beispielstadt,,00000 000000,,0000 0000000,familie028@example.invalid,Schmidt,Elternteil B,m,Musterstraße,29,77654,Beispielstadt,,,,0000 0000000,familie028.b@example.invalid,5y,,,GS-04,,E,E,F,Ja,,"Johaanna Schwarz, Mara Schröder",4a,Ja,Ja,Ja,Ja,Ja
1029,50029,5,Schwarz,Johanna,,02.06.2016,Beispielstadt,D,w,,KEIN,D,,Musterstraße,30,77654,Beispielstadt,,deutsch,2022,Schwarz,Elternteil A,w,Musterstraße,30,77654,Beispielstadt,,00000 000000,,0000 0000000,familie029@example.invalid,Schwarz,Elternteil B,m,Musterstraße,30,77654,Beispielstadt,,,,0000 0000000,familie029.b@example.invalid,5z,,,GS-05,,E,E,F,Nein,,"Moritz König, Emil Zimmermann",4b,Ja,Ja,Ja,Ja,Ja
1030,50030,5,König,Moritz,,03.07.2015,Beispielstadt,D,m,rk,RK,D,,Musterstraße,31,77654,Beispielstadt,,deutsch,2022,König,Elternteil A,w,Musterstraße,31,77654,Beispielstadt,,00000 000000,,0000 0000000,familie030@example.invalid,König,Elternteil B,m,Musterstraße,31,77654,Beispielstadt,,,,0000 0000000,familie030.b@example.invalid,5x,,,GS-00,,E,E,L,Ja,,"Ida Weber, Mia Hofmann",4c,Ja,Ja,Nein,Ja,Nein
1031,50031,5,Weber,Ida,,04.08.2016,Beispielstadt,D,w,ev,EV,D,,Musterstraße,32,77654,Beispielstadt,,deutsch,2022,Weber,Elternteil A,w,Musterstraße,32,77654,Beispielstadt,,00000 000000,,0000 0000000,familie031@example.invalid,Weber,Elternteil B,m,Musterstraße,32,77654,Beispielstadt,,,,0000 0000000,familie031.b@example.invalid,5z,,,GS-01,,E,E,F,Nein,,"Julian Krüger, Finn Schmitt",4d,Ja,Ja,Ja,Ja,Ja
1032,50032,5,Krüger,Julian,Julian,05.09.2015,Beispielstadt,D,m,,KEIN,D,,Musterstraße,33,77654,Beispielstadt,,deutsch,2022,Krüger,Elternteil A,w,Musterstraße,33,77654,Beispielstadt,,00000 000000,,0000 0000000,familie032@example.invalid,Krüger,Elternteil B,m,Musterstraße,33,77654,Beispielstadt,,,,0000 0000000,familie032.b@example.invalid,5z,,,GS-02,,E,E,F,Ja,,"Maja Huber, Lena Meier",4a,Ja,Ja,Ja,Ja,Ja
1033,50033,5,Huber,Maja,,06.10.2016,Beispielstadt,D,w,rk,RK,D,,Musterstraße,34,77654,Beispielstadt,,deutsch,2022,Huber,Elternteil A,w,Musterstraße,34,77654,Beispielstadt,,00000 000000,,0000 0000000,familie033@example.invalid,Huber,Elternteil B,m,Musterstraße,34,77654,Beispielstadt,,,,0000 0000000,familie033.b@example.invalid,5z,,,GS-03,,E,E,L,Nein,,,4b,Ja,Ja,Ja,Ja,Nein
1034,50034,5,Becker,Tom,,07.11.2015,Beispielstadt,D,m,ev,EV,D,,Musterstraße,35,77654,Beispielstadt,,deutsch,2022,Becker,Elternteil A,w,Musterstraße,35,77654,Beispielstadt,,00000 000000,,0000 0000000,familie034@example.invalid,Becker,Elternteil B,m,Musterstraße,35,77654,Beispielstadt,,,,0000 0000000,familie034.b@example.invalid,5z,,,GS-04,,E,E,F,Ja,,"Frieda Lange, Sophie Herrmann",4c,Ja,Ja,Ja,Ja,Ja
1035,50035,5,Lange,Frieda,,08.12.2016,Beispielstadt,D,w,,KEIN,D,,Musterstraße,36,77654,Beispielstadt,,deutsch,2022,Lange,Elternteil A,w,Musterstraße,36,77654,Beispielstadt,,00000 000000,,0000 0000000,familie035@example.invalid,Lange,Elternteil B,m,Musterstraße,36,77654,Beispielstadt,,,,0000 0000000,familie035.b@example.invalid,5y,,,GS-05,,E,E,F,Nein,,"Philipp Peters, Felix Mayer",4d,Ja,Ja,Nein,Ja,Ja
1036,50036,5,Peters,Philipp,Philipp,09.01.2015,Beispielstadt,D,m,rk,RK,D,,Musterstraße,37,77654,Beispielstadt,,deutsch,2022,Peters,Elternteil A,w,Musterstraße,37,77654,Beispielstadt,,00000 000000,,0000 0000000,familie036@example.invalid,Peters,Elternteil B,m,Musterstraße,37,77654,Beispielstadt,,,,0000 0000000,familie036.b@example.invalid,5z,,,GS-00,,E,E,L,Ja,,"Pia Schäfer, Leon Meyer",4a,Ja,Ja,Ja,Ja,Nein
1037,50037,5,Schäfer,Pia,,10.02.2016,Beispielstadt,D,w,ev,EV,D,,Musterstraße,38,77654,Beispielstadt,,deutsch,2022,Schäfer,Elternteil A,w,Musterstraße,38,77654,Beispielstadt,,00000 000000,,0000 0000000,familie037@example.invalid,Schäfer,Elternteil B,m,Musterstraße,38,77654,Beispielstadt,,,,0000 0000000,familie037.b@example.invalid,5z,,,GS-01,,E,E,F,Nein,,"Simon Krause, Emma Schulz",4b,Ja,Ja,Ja,Ja,Ja
1038,50038,5,Krause,Simon,,11.03.2015,Beispielstadt,D,m,,KEIN,D,,Musterstraße,39,77654,Beispielstadt,,deutsch,2022,Krause,Elternteil A,w,Musterstraße,39,77654,Beispielstadt,,00000 000000,,0000 0000000,familie038@example.invalid,Krause,Elternteil B,m,Musterstraße,39,77654,Beispielstadt,,,,0000 0000000,familie038.b@example.invalid,5z,,,GS-02,,E,E,F,Ja,,"Greta Möller, Luca Koch",4c,Ja,Ja,Ja,Ja,Ja
1039,50039,5,Möller,Greta,,12.04.2016,Beispielstadt,D,w,rk,RK,D,,Musterstraße,40,77654,Beispielstadt,,deutsch,2022,Möller,Elternteil A,w,Musterstraße,40,77654,Beispielstadt,,00000 000000,,0000 0000000,familie039@example.invalid,Möller,Elternteil B,m,Musterstraße,40,77654,Beispielstadt,,,,0000 0000000,familie039.b@example.invalid,5x,,,GS-03,,E,E,L,Nein,,"Erik Richter, Lea Klein",4d,Ja,Ja,Ja,Ja,Nein
1040,50040,5,Richter,Erik,Erik,13.05.2015,Beispielstadt,D,m,ev,EV,D,,Musterstraße,41,77654,Beispielstadt,,deutsch,2022,Richter,Elternteil A,w,Musterstraße,41,77654,Beispielstadt,,00000 000000,,0000 0000000,familie040@example.invalid,Richter,Elternteil B,m,Musterstraße,41,77654,Beispielstadt,,,,0000 0000000,familie040.b@example.invalid,5z,,,GS-04,,E,E,F,Ja,,"Lily Schmid, Ben Neumann",4a,Ja,Ja,Nein,Ja,Ja
1041,50041,5,Schmid,Lily,,14.06.2016,Beispielstadt,D,w,,KEIN,D,,Musterstraße,42,77654,Beispielstadt,,deutsch,2022,Schmid,Elternteil A,w,Musterstraße,42,77654,Beispielstadt,,00000 000000,,0000 0000000,familie041@example.invalid,Schmid,Elternteil B,m,Musterstraße,42,77654,Beispielstadt,,,,0000 0000000,familie041.b@example.invalid,5z,,,GS-05,,E,E,F,Nein,,"Jakob Hahn, Lina Braun",4b,Ja,Ja,Ja,Ja,Ja
1042,50042,5,Hahn,Jakob,,15.07.2015,Beispielstadt,D,m,rk,RK,D,,Musterstraße,43,77654,Beispielstadt,,deutsch,2022,Hahn,Elternteil A,w,Musterstraße,43,77654,Beispielstadt,,00000 000000,,0000 0000000,familie042@example.invalid,Hahn,Elternteil B,m,Musterstraße,43,77654,Beispielstadt,,,,0000 0000000,familie042.b@example.invalid,5y,,,GS-00,,E,E,L,Ja,,"Mara Schröder, Max Hartmann",4c,Ja,Ja,Ja,Ja,Nein
1043,50043,5,Schröder,Mara,,16.08.2016,Beispielstadt,D,w,ev,EV,D,,Musterstraße,44,77654,Beispielstadt,,deutsch,2022,Schröder,Elternteil A,w,Musterstraße,44,77654,Beispielstadt,,00000 000000,,0000 0000000,familie043@example.invalid,Schröder,Elternteil B,m,Musterstraße,44,77654,Beispielstadt,,,,0000 0000000,familie043.b@example.invalid,5z,,,GS-01,,E,E,F,Nein,,,4d,Ja,Ja,Ja,Ja,Ja
1044,50044,5,Köhler,Anton,Anton,17.09.2015,Beispielstadt,D,m,,KEIN,D,,Musterstraße,45,77654,Beispielstadt,,deutsch,2022,Köhler,Elternteil A,w,Musterstraße,45,77654,Beispielstadt,,00000 000000,,0000 0000000,familie044@example.invalid,Köhler,Elternteil B,m,Musterstraße,45,77654,Beispielstadt,,,,0000 0000000,familie044.b@example.invalid,5z,,,GS-02,,E,E,F,Ja,,"Nora Schneider, Lukas Lehmann",4a,Ja,Ja,Ja,Ja,Ja
1045,50045,5,Schneider,Nora,,18.10.2016,Beispielstadt,D,w,rk,RK,D,,Musterstraße,46,77654,Beispielstadt,,deutsch,2022,Schneider,Elternteil A,w,Musterstraße,46,77654,Beispielstadt,,00000 000000,,0000 0000000,familie045@example.invalid,Schneider,Elternteil B,m,Musterstraße,46,77654,Beispielstadt,,,,0000 0000000,familie045.b@example.invalid,5z,,,GS-03,,E,E,L,Nein,,"Emil Zimmermann, Sarah Maier",4b,Ja,Ja,Nein,Ja,Nein
1046,50046,5,Zimmermann,Emil,,19.11.2015,Beispielstadt,D,m,ev,EV,D,,Musterstraße,47,77654,Beispielstadt,,deutsch,2022,Zimmermann,Elternteil A,w,Musterstraße,47,77654,Beispielstadt,,00000 000000,,0000 0000000,familie046@example.invalid,Zimmermann,Elternteil B,m,Musterstraße,47,77654,Beispielstadt,,,,0000 0000000,familie046.b@example.invalid,5z,,,GS-04,,E,E,F,Ja,,"Zoe Walter, Moritz König",4c,Ja,Ja,Ja,Ja,Ja
1047,50047,5,Walter,Zoe,,20.12.2016,Beispielstadt,D,w,,KEIN,D,,Musterstraße,48,77654,Beispielstadt,,deutsch,2022,Walter,Elternteil A,w,Musterstraße,48,77654,Beispielstadt,,00000 000000,,0000 0000000,familie047@example.invalid,Walter,Elternteil B,m,Musterstraße,48,77654,Beispielstadt,,,,0000 0000000,familie047.b@example.invalid,5z,,,GS-05,,E,E,F,Nein,,"Leon Meyer, Maja Huber",4d,Ja,Ja,Ja,Ja,Ja
1048,50048,5,Meyer,Leon,Leon,21.01.2015,Beispielstadt,D,m,rk,RK,D,,Musterstraße,49,77654,Beispielstadt,,deutsch,2022,Meyer,Elternteil A,w,Musterstraße,49,77654,Beispielstadt,,00000 000000,,0000 0000000,familie048@example.invalid,Meyer,Elternteil B,m,Musterstraße,49,77654,Beispielstadt,,,,0000 0000000,familie048.b@example.invalid,5x,,,GS-00,,E,E,L,Ja,,"Mia Hofmann, Philipp Peters",4a,Ja,Ja,Ja,Ja,Nein
1049,50049,5,Hofmann,Mia,,22.02.2016,Beispielstadt,D,w,ev,EV,D,,Musterstraße,50,77654,Beispielstadt,,deutsch,2022,Hofmann,Elternteil A,w,Musterstraße,50,77654,Beispielstadt,,00000 000000,,0000 0000000,familie049@example.invalid,Hofmann,Elternteil B,m,Musterstraße,50,77654,Beispielstadt,,,,0000 0000000,familie049.b@example.invalid,5y,,,GS-01,,E,E,F,Nein,,"Paul Kaiser, Greta Möller",4b,Ja,Ja,Ja,Ja,Ja
1050,50050,5,Kaiser,Paul,,23.03.2015,Beispielstadt,D,m,,KEIN,D,,Musterstraße,51,77654,Beispielstadt,,deutsch,2022,Kaiser,Elternteil A,w,Musterstraße,51,77654,Beispielstadt,,00000 000000,,0000 0000000,familie050@example.invalid,Kaiser,Elternteil B,m,Musterstraße,51,77654,Beispielstadt,,,,0000 0000000,familie050.b@example.invalid,5z,,,GS-02,,E,E,F,Ja,,"Emma Schulz, Jakob Hahn",4c,Ja,Ja,Nein,Ja,Ja
1051,50051,5,Schulz,Emma,,24.04.2016,Beispielstadt,D,w,rk,RK,D,,Musterstraße,52,77654,Beispielstadt,,deutsch,2022,Schulz,Elternteil A,w,Musterstraße,52,77654,Beispielstadt,,00000 000000,,0000 0000000,familie051@example.invalid,Schulz,Elternteil B,m,Musterstraße,52,77654,Beispielstadt,,,,0000 0000000,familie051.b@example.invalid,5z,,,GS-03,,E,E,L,Nein,,"Finn Schmitt, Nora Schneider",4d,Ja,Ja,Ja,Ja,Nein
